user	date	lon	lat	geoprivacy
Benoît Prieur	2012-03-08	5.08716667	45.85066667	open
Benoît Prieur	2012-03-08	5.08716667	45.85066667	open
Benoît Prieur	2012-03-08	5.0745	45.85083333	open
Benoît Prieur	2012-03-08	5.07116667	45.851	open
Benoît Prieur	2012-03-10	4.96683333	45.82433333	open
Benoît Prieur	"between 1900 and 1910<div style=""display: none;"">date QS:P,+1950-00-00T00:00:00Z/7,P1319,+1900-00-00T00:00:00Z/9,P1326,+1910-00-00T00:00:00Z/9</div>"	5.001951	45.840172	open
Benoît Prieur	2012-03-12	4.995	45.8195	open
Benoît Prieur	2012-03-12	4.99716667	45.8205	open
Benoît Prieur	2012-03-12	4.99466667	45.8195	open
Benoît Prieur	2012-03-12	4.99533333	45.81966667	open
Benoît Prieur	2012-03-12	4.99466667	45.8195	open
Benoît Prieur	2012-03-12	5.002	45.84016667	open
Benoît Prieur	2012-03-12	4.976	45.83066667	open
Benoît Prieur	2012-03-12	4.997	45.81966667	open
Benoît Prieur	2012-03-12	5.0005	45.82316667	open
Benoît Prieur	Années 1910 ; la carte est postée et reçue en 1915	5.002186	45.840998	open
Benoît Prieur	2012-03-12	4.9875	45.83783333	open
Benoît Prieur	2012-03-16	5.0025	45.83766667	open
Benoît Prieur	2012-03-16	5.0025	45.83783333	open
Benoît Prieur	2012-03-16	5.00216667	45.83783333	open
Benoît Prieur	2012-03-19	4.98766667	45.8335	open
Benoît Prieur	2012-03-25	5.17866667	45.9035	open
Benoît Prieur	2012-03-25	5.17866667	45.9035	open
Benoît Prieur	2012-03-25	5.17966667	45.90333333	open
Benoît Prieur	2012-03-25	5.1795	45.90366667	open
Benoît Prieur	2012-03-25	5.17866667	45.90316667	open
